name,hash_name,wear,url,price_usd,quantity,scraped_at,total market value
AK-47 | Baroque Purple (Well-Worn),AK-47 | Baroque Purple (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Baroque%20Purple%20%28Well-Worn%29,7.83,79,2026-07-09 11:23:09.131644,618.57
AK-47 | Black Laminate (Battle-Scarred),AK-47 | Black Laminate (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Black%20Laminate%20%28Battle-Scarred%29,52.63,12,2026-07-09 11:23:09.131686,631.56
AK-47 | Black Laminate (Factory New),AK-47 | Black Laminate (Factory New),Factory New,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Black%20Laminate%20%28Factory%20New%29,709.98,5,2026-07-09 11:23:09.131733,3549.9
AK-47 | Black Laminate (Field-Tested),AK-47 | Black Laminate (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Black%20Laminate%20%28Field-Tested%29,52.68,50,2026-07-09 11:23:09.131773,2634.0
AK-47 | Black Laminate (Minimal Wear),AK-47 | Black Laminate (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Black%20Laminate%20%28Minimal%20Wear%29,99.16,63,2026-07-09 11:23:09.131813,6247.08
AK-47 | Black Laminate (Well-Worn),AK-47 | Black Laminate (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Black%20Laminate%20%28Well-Worn%29,54.7,6,2026-07-09 11:23:09.131855,328.2
AK-47 | Bloodsport (Factory New),AK-47 | Bloodsport (Factory New),Factory New,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Bloodsport%20%28Factory%20New%29,246.75,94,2026-07-09 11:23:11.030100,23194.5
AK-47 | Bloodsport (Field-Tested),AK-47 | Bloodsport (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Bloodsport%20%28Field-Tested%29,190.83,79,2026-07-09 11:23:11.030145,15075.57
AK-47 | Bloodsport (Minimal Wear),AK-47 | Bloodsport (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Bloodsport%20%28Minimal%20Wear%29,213.11,63,2026-07-09 11:23:11.030182,13425.93
AK-47 | Bloodsport (Well-Worn),AK-47 | Bloodsport (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Bloodsport%20%28Well-Worn%29,189.77,16,2026-07-09 11:23:11.030218,3036.32
AK-47 | Blue Laminate (Factory New),AK-47 | Blue Laminate (Factory New),Factory New,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Blue%20Laminate%20%28Factory%20New%29,76.09,492,2026-07-09 11:23:11.030254,37436.28
AK-47 | Blue Laminate (Field-Tested),AK-47 | Blue Laminate (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Blue%20Laminate%20%28Field-Tested%29,19.57,445,2026-07-09 11:23:11.030291,8708.65
