name,hash_name,wear,url,price_usd,quantity,scraped_at
AK-47 | Black Laminate (Battle-Scarred),AK-47 | Black Laminate (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Black%20Laminate%20%28Battle-Scarred%29,52.75,12,2026-07-08T13:40:58.341338
AK-47 | Black Laminate (Factory New),AK-47 | Black Laminate (Factory New),Factory New,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Black%20Laminate%20%28Factory%20New%29,709.98,4,2026-07-08T13:40:58.341381
AK-47 | Black Laminate (Field-Tested),AK-47 | Black Laminate (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Black%20Laminate%20%28Field-Tested%29,51.77,52,2026-07-08T13:40:58.341423
AK-47 | Black Laminate (Minimal Wear),AK-47 | Black Laminate (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Black%20Laminate%20%28Minimal%20Wear%29,102.3,63,2026-07-08T13:40:58.341466
AK-47 | Black Laminate (Well-Worn),AK-47 | Black Laminate (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Black%20Laminate%20%28Well-Worn%29,54.7,7,2026-07-08T13:40:58.341514
AK-47 | Bloodsport (Factory New),AK-47 | Bloodsport (Factory New),Factory New,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Bloodsport%20%28Factory%20New%29,255.82,89,2026-07-08T13:41:00.212150
AK-47 | Bloodsport (Field-Tested),AK-47 | Bloodsport (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Bloodsport%20%28Field-Tested%29,193.33,78,2026-07-08T13:41:00.212254
AK-47 | Bloodsport (Minimal Wear),AK-47 | Bloodsport (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Bloodsport%20%28Minimal%20Wear%29,205.57,64,2026-07-08T13:41:00.212345
AK-47 | Bloodsport (Well-Worn),AK-47 | Bloodsport (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Bloodsport%20%28Well-Worn%29,184.26,17,2026-07-08T13:41:00.212434
AK-47 | Blue Laminate (Factory New),AK-47 | Blue Laminate (Factory New),Factory New,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Blue%20Laminate%20%28Factory%20New%29,73.99,492,2026-07-08T13:41:00.212522
